"Abraham Bradley, Jr.",Hannah Smith
Manoranjan Bhakta,Shanti Bhakta
Manos Katrakis,???
Manoush,Chris Vazquez (2006-present)
Manoush,Henry Noah (1994-1998)
Manoush,Sonyo Lakatos (1989)
Mansour (singer),Sogol (2008-present)
Mansour bin Zayed Al Nahyan,Alia bint Mohammed bin Butti Al Hamed
Mansour bin Zayed Al Nahyan,Manal bint Mohammed Al Maktoum
Mansour bin Zayed Al Nahyan,Manal bint Mohammed bin Rashid Al Maktoum
Mansukhbhai Vasava,Smt. Saraswati Ben Vasava
Mantan Moreland,Hazel Moreland (1 child)
Manthena Venkata Raju,Smt. Annapurnamma
Manto Tshabalala-Msimang,Mendi Msimang
Manuel Amador Guerrero,Maria Ossa Escobar
Manuel Ancízar,Agripina Samper Agudelo
Manuel Azaña,Dolores de Rivas Cherif
Manuel Bulnes,Enriqueta Pinto
Manuel Caballero,Hanni Ossott
Manuel Carrillo Tablas,Rosa Iturriaga
Manuel Cepeda Vargas,Yira Castro
Manuel Esquivel,Kathy Esquivel
Manuel I Komnenos,Bertha of Sulzbach
Manuel I Komnenos,Maria of Antioch
Manuel I of Portugal,"Isabella, Princess of Asturias (1470-1498)"
Manuel I of Portugal,"Isabella, Princess of Asturias"
Manuel I of Portugal,Eleanor of Habsburg
Manuel I of Portugal,Maria of Aragon
Manuel I of Portugal,Maria of Aragon (1482-1517)
Manuel II Palaiologos,Helena Dragas
Manuel II of Portugal,Augusta Victoria of Hohenzollern-Sigmaringen
Manuel L. Quezon,Aurora Quezon
Manuel María Mallarino,Mercedes Cabal Borrero
Manuel Montt,Rosario Montt Goyenechea
Manuel Moroun,Nora
Manuel Moroun,http://urbantoronto.ca/archive/index.php/t-3880.html
Manuel Murillo Toro,Ana Roma y Cabarcas
Manuel Oribe,Agustina Contucci
Manuel Pérez y Curis,Josefina Maggi
Manuel Rosales,Eveling Trejo de Rosales
Manuel Roxas,"Trinidad de Leon of San Miguel, Bulacan"
Manuel Roxas,Trinidad Roxas
Manuel Sánchez (economist),Rosina Flores
Manuel Teixeira Gomes,; Belmira das Neves (non-marital liaison)
Manuel Teixeira Gomes,Not married
Manuel Teodoro,Ani Zamorano (1994-present)
Manuel Tinio,Basilia Pilares Huerta
Manuel Trucco,Laura Gaete Fagalde
Manuel Uribe Ángel,Magdalena Urreta Saldarriaga (1854-1904)
Manuel Zelaya,Xiomara Castro
Manuel Zelaya,Xiomara de Zelaya
Manuel de Araújo Porto-alegre,Ana Paulina Delamare
Manuel de Montiano,Gregoria Josefa Aguiar
Manuel Ávila Camacho,Soledad Orozco
Manuela Sáenz,James Thorne
Manvendra Singh,Chitra Singh
Mao Anqing,Shao Hua
Mao Anying,Liu Songlin (m.1949-1950)
Mao Fumei,(m.1901-1927)
Mao Fumei,Chiang Kai-shek
Mao Zedong,He Zizhen
Mao Zedong,Jiang Qing
Mao Zedong,Luo Yixiu
Mao Zedong,Yang Kaihui
Mar Eshai Shimun XXIII,Wife (married 1973)
Mar Roxas,Korina Sanchez
Mara Brock Akil,Salim Akil (1999 - present)
Mara Candelaria Reardon,Matthew
Maragatham Chandrasekar,R. Chandrasekar
Marais Viljoen,Dorothea Maria Brink
Maralyn Chase,widowed
Marc Basnight,widower
Marc Blucas,(2009&ndash;present)
Marc Blucas,Ryan Haddon
Marc Brown (author),Laurie Krasny Brown
Marc Connelly,(1930-1935)
Marc Connelly,Madeline Hurlock
Marc Ecko,Allison Rojas (2000-present)
Marc Evans,Nia Roberts
Marc Evans,Nia Roberts (actor)
Marc Feinstein,Nancy
Marc Ferland (politician),Michelle Simoneau
Marc Ferland (politician),m. 17 August 1968
Marc Gergely,Debbie Gergely
Marc Hodler,10
Marc Hodler,2006
Marc Hodler,2008-08-22
Marc Hodler,23
Marc Hodler,Guardian Newspaper (UK)
Marc Hodler,Michael Carson
Marc Hodler,Obituary
Marc Hodler,Wife
Marc Hodler,http://www.guardian.co.uk/news/2006/oct/23/guardianobituaries.obituaries
Marc Jacobs,Lorenzo Martone
Marc MacSharry,Marie Murphy
Marc MacYoung,Dianna Gordon
Marc Matney,"Retrieved on October 4, 2008."
Marc Matney,Information on Marc Matney.
Marc McDermott,Miriam Nesbitt
Marc Morial,Michelle Miller
Marc Picard,Lynda Boivin
Marc Player,Claudia Player
Marc Prensky,Rie Takemura
Marc Racicot,Theresa Racicot
Marc Ravalomanana,Lalao Ravalomanana
Marc Rich,(1966-1996 - divorced)
Marc Rich,Denise Rich
Marc Robinson,Waluscha D'souza (2002 - Present)
Marc Sinden,Jo Gilbert
Marc Singer,Haunani Minn
Marc St. James,(beard)
Marc St. James,Amanda Tanen
Marc St. James,Cliff St. Paul
Marc St. James,Troy (fling)
Marc Summers,Alice Filous (1974-present)
Marc Worden,(2002 - Present)
Marc Worden,3 children
Marc Worden,Marilisa
Marc-Joseph Marion du Fresne,Julie Bernardine Guilmaut de Beaulieu
Marcel Boussac,Fanny Heldy
Marcel Dalio,(1936-1939)
Marcel Dalio,(1938-1942)
Marcel Dalio,Jany Holt
Marcel Dalio,Madeleine LeBeau
Marcel L'Herbier,Marcelle Pradot
Marcel Marceau,Anne Sicco (1975-2007)
Marcel Marceau,Ella Jaroszewicz (m. 1966)
Marcel Marceau,Huguette Mallette (div. 1958)
Marcel Proulx,Pamela Proulx
Marcel van Dam,Milou Derks
Marcela Agoncillo,Don Felipe Agoncillo
Marcela Agoncillo,Felipe Agoncillo
Marceline Day,Arthur J. Klein
Marceline Day,John Arthur (1959 - ?)
Marcella Frevert,William
Marcella Rabwin,Dr Marcus Rabwin
Marcelle Pradot,(1923-1979)
Marcelle Pradot,Marcel L'Herbier
Marcello Mastroianni,Flora Carabella (1950-1996)
Marcellus L. Joslyn,Alice Cecelia Newell
Marcellus Stearns,None
Marcelo Ebrard,Mariagna Prats
Marcelo Tinelli,"Paula Robles, 1996-2009"
Marcelo Torcuato de Alvear,Regina Pacini
March Fong Eu,Henry Eu
Marcheline Bertrand,(1971-1980)
Marcheline Bertrand,Jon Voight
Marci Francisco,Joe Bickford
Marcia Cross,Tom Mahoney (2006&ndash;present)
Marcia Fudge,single
Marcia Lewis,Fred D. Bryan (2001-present)
Marcia Lucas,1969
Marcia Lucas,1983
Marcia Lucas,George Lucas
Marcia Mae Jones,Bill Davenport (1955-1963) (divorced)
Marcia Mae Jones,Robert Chic (1943-1951) 2 Children
Marcia Mitzman Gaven,Seth Gaven
Marcia Wallace,Dennis Hawley
Marcia Wallace,his death
Marcie Dodd,Colin Follenweider (2006-present)
Marcie McBain,"(May 5, 2006-present)"
Marcie McBain,Michael McBain
Marcin Zborowski,Anna Konarska
Marco Fidel Suárez,Isabel Orrantia y Borda
Marco Khan,Heather Khan
Marco Pierre White,(divorced)
Marco Pierre White,15 August 1992
Marco Pierre White,2007
Marco Pierre White,7 April 2000
Marco Pierre White,8 June 1988
Marco Pierre White,Alex McArthur
Marco Pierre White,January 1990
Marco Pierre White,Lisa Butcher
Marco Pierre White,Mati Conjero
Marco Pierre White,November 1992
Marco Polo,Danta Badoer
Marco Rubio,Jeanette Dousdebes
Marcos Ferraez,Alona Tal
Marcus A. Coolidge,"Burlington, VT"
Marcus A. Coolidge,133
Marcus A. Coolidge,1909
Marcus A. Coolidge,Ethel Louise Warren
Marcus A. Coolidge,Free Press Printing Co.
Marcus A. Coolidge,Fulham
Marcus A. Coolidge,The Fulham Genealogy: With Index of Names and Blanks for Records
Marcus A. Coolidge,Volney Sewall
Marcus Aurelius,Faustina the Younger
Marcus Bakker,Els Ezerman
Marcus Coloma,Sophia Banks (Present)
Marcus Foster,Albertine Ramseur Foster
Marcus Fox,Ann Tindall
Marcus Gibson,None
Marcus Lamb,", 1982-present"
Marcus Lamb,Joni Lamb
Marcus Lamb,Joni Trammell
Marcus Licinius Crassus,Tertulla
Marcus M. Drake,"married three times; Persis L. Bennett, Mary A. Ludlow, Lillian Quest"
Marcus Mastin,Christina Ann Mastin (2006-)
Marcus R. Clark,Allyson Ayers Clark (married 1990)
Marcus Rose,married
Marcus Samuelsson,Maya Haile
Marcus Schrenker,Michelle Schrenker(divorced)
Marcus Whitman,Narcissa Prentiss
Marcus Whitman,Narcissa Whitman
Marcy Harriell,Robert Harriell
Marcy Walker,Billy Warlock
Marcy Walker,Stephen Ferris (ca. early 1980s)
Marda Vanne,J.G. Strijdom
Marda Vanne,JG Strijdom
Mardi Tindal,Doug Tindal
Mare Winningham,(1981)
Mare Winningham,A Martinez
Mare Winningham,Jason Trucco (2008-present)
Mare Winningham,William Mapel (1983-1994)
Marek Belka,Krystyna Belka
Marek Borowski,Halina Borowska
Marek Perepeczko,(1967&ndash;2005)
Marek Perepeczko,Agnieszka Perepeczko
Marfa Sobakina,Ivan IV of Russia
Marga Barbu,Constantin Codrescu
Marga Barbu,Eugen Barbu
Marga López,"Carlos Amador (married twice: 1941, 1961; divorced twice)"
Marga López,(1964-1973)
Margalo Gillmore,Robert Ross (?-1954) (his death)
Margaret A. Edwards,Phillip Edwards
Margaret A. Hamburg,Peter Fitzhugh Brown
Margaret A. Ryan,Michael J. Collins
Margaret Abela,(m. 1976)
Margaret Abela,George Abela
Margaret Anderson Kelliher,David Kelliher
Margaret Anglin,"Howard Hull(married May 8, 1911)"
Margaret Avery,Robert Gordon Hunt (divorced)
Margaret Ballinger,William Ballinger
Margaret Beauchamp of Bletso,"John Beaufort, 1st Duke of Somerset"
Margaret Beauchamp of Bletso,"Lionel de Welles, 6th Baron Welles"
Margaret Beauchamp of Bletso,Sir Oliver St John
Margaret Beauchamp of Bletso,m. 1439; dec. 1444
Margaret Beauchamp of Bletso,m. 1447; dec. 1461
Margaret Beauchamp of Bletso,m. bef. 1437; dec. 1437
Margaret Beckett,Leo Beckett
Margaret Brown,James Joseph Brown
Margaret Campbell,Josef Swickard
Margaret Carnegie Miller,Roswell Miller
Margaret Carpenter,"C.A. Bryant, Jr. (deceased 1985); Dale Richard Carpenter"
Margaret Chan,2006-10-13
Margaret Chan,David Chan
Margaret Chan,Possible WHO head is Western grad
Margaret Chan,The London Free Press
Margaret Chan,http://lfpress.ca/newsstand/News/Local/2006/10/13/2017113.html
Margaret Chase Smith,Clyde Smith
Margaret Chin,Alan Tung
Margaret Cho,Al Ridenour
Margaret Clark,Jim Clark
Margaret Colin,(1988-present) 2 children
Margaret Colin,Justin Deas
Margaret Dayton,Lynn
Margaret Dixon,1928
Margaret Dixon,J. Muncia Dixon
Margaret Douglas,"Matthew Stewart, 4th Earl of Lennox"
Margaret Drabble,Clive Swift
Margaret Drabble,Michael Holroyd
Margaret Dumont,"John Moller, Jr. (1910-1918) (his death)"
Margaret Ekpo,Dr Udo Ekpo
Margaret Eliot,(deceased)
Margaret Eliot,Richard Asher
Margaret Elsworth,Jack Elsworth
Margaret Ewing,Fergus Ewing
Margaret Farrow,John Farrow
Margaret Flagg Holmes,"Parker 1999, op. cit., p. 10-11."
Margaret Flagg Holmes,1917
Margaret Flagg Holmes,1946
Margaret Flagg Holmes,John Clay Holmes
Margaret Formby,"John Clinton ""Clint"" Formby"
Margaret Formby,Clint Formby
Margaret Gardner,Glyn Davis
Margaret Grubb,L. Ron Hubbard
Margaret Guilfoyle,Stanley Guilfoyle
Margaret H. Marshall,Anthony Lewis
Margaret Hale,John Thornton
Margaret Hale,John Thornton (North and South)
Margaret Hayes Grazier,Robert Grazier
Margaret I of Denmark,Haakon VI of Norway
Margaret Karcher,Carl Karcher
Margaret Kerry,(December 1987 - December 1999) -Widow
Margaret Kerry,(October 1951 - June 1984) -Divorced
Margaret Kerry,Dick Brown
Margaret Kerry,John H. Willcox
Margaret Knox,John Knox
Margaret Knox,Sir Andrew Ker of Faldonside
Margaret Landon,Kenneth Landon
Margaret Leighton,(1947-1955)
Margaret Leighton,(1957-1961)
Margaret Leighton,(1964-1976)
Margaret Leighton,Laurence Harvey
Margaret Leighton,Max Reinhardt
Margaret Leighton,Michael Wilding
Margaret Leijonhufvud,Gustav I of Sweden
Margaret Lindsay,Never Married
Margaret Lockwood,(1937-1949)
Margaret Lockwood,Rupert de Leon
Margaret Mason,E. Nick Alexander (1970-1999)
Margaret McCain,Wallace McCain
Margaret McNamara,Robert McNamara
Margaret Mead,(1923-1928)
Margaret Mead,(1928-1935)
Margaret Mead,(1936-1950)
Margaret Mead,Gregory Bateson
Margaret Mead,Luther Cressman
Margaret Mead,Reo Fortune
Margaret Mee,"First: Reginald Bruce, Second: Greville Mee"
Margaret Millar,Ross Macdonald
Margaret Morris (dancer),John Duncan Fergusson
Margaret Mountford,Richard Mountford (1973-1990)
Margaret Murie,Olaus Murie
Margaret O'Brien,"Harold Allen, Jr. (1959&ndash;1968) (divorced)"
Margaret O'Brien,Roy Thorsen (1974&ndash;present)
Margaret Pomeranz,Hans Pomeranz
Margaret Renwick,Jim Renwick
Margaret Renwick,Jim Renwick (Canadian politician)
Margaret Rhodes,Denys Gravenor Rhodes
Margaret Ringenberg,Morris Ringenberg
Margaret Rutherford,(1945-1972) (her death)
Margaret Rutherford,Stringer Davis
Margaret Sanger,James Noah H. Slee (1921-1966)
Margaret Sanger,William Sanger (1902-1913)
Margaret Scudamore,Roy Redgrave
Margaret Sheffield,Michael
Margaret Shelby,Hugh Fillmore
Margaret Spellings,Robert Spellings
Margaret Storrs Grierson,Herbert John Clifford Grierson
Margaret Storrs Grierson,Sir Herbert Grierson
Margaret Sullavan,(1931-1932)
Margaret Sullavan,(1934-1936)
Margaret Sullavan,(1936-1947)
Margaret Sullavan,Henry Fonda
Margaret Sullavan,Kenneth Wagg (1950-1960)
Margaret Sullavan,Leland Hayward
Margaret Sullavan,William Wyler
Margaret Taylor,Zachary Taylor
Margaret Thatcher (Due South),None
Margaret Thatcher,Denis Thatcher
Margaret Trudeau,Pierre Trudeau
Margaret Truman,Clifton Daniel
Margaret Tudor,"Archibald Douglas, 6th Earl of Angus"
Margaret Tudor,"Henry Stewart, 1st Lord Methven"
Margaret Tudor,James IV of Scotland
Margaret Tudor,m. 1503; dec. 1513
Margaret Tudor,m. 1514; div. 1527
Margaret Tudor,m. 1528; dec. 1552
Margaret Tyzack,Alan Stephenson
Margaret Vanderhye,Robert Vanderhye
Margaret Weis,"(married 1996, later divorced)"
Margaret Weis,Don Perrin
Margaret Wycherly,(1901-?) 1 child
Margaret Wycherly,Bayard Veiller
Margaret de Audley,"Ralph Stafford, 1st Earl of Stafford"
Margaret de Clare,"Hugh de Audley, 1st Earl of Gloucester"
Margaret de Clare,Piers Gaveston
Margaret de Stafford,"Ralph de Neville, 1st Earl of Westmorland"
Margaret of Anjou,Henry VI of England
Margaret of Bavaria,"John the Fearless, Duke of Burgundy"
Margaret of Bavaria,John the Fearless
Margaret of Bourbon,"Philip II, Duke of Savoy"
Margaret of Bourbon,Philip II of Savoy
Margaret of Brabant,"Henry VII, Holy Roman Emperor"
Margaret of Brandenburg,Albert III of Saxe-Lauenburg
Margaret of Brandenburg,Albrecht III of Saxony
Margaret of Brieg,"Albert I, Duke of Bavaria"
Margaret of Denmark,James III of Scotland
Margaret of Durazzo,Charles III of Naples
Margaret of England (1275–1333),"John II, Duke of Brabant"
Margaret of England (1275–1333),m. 1290; dec. 1312
Margaret of England,Alexander III of Scotland
Margaret of France (died 1318),Edward I of England
Margaret of Parma,"Alessandro de' Medici, Duke of Florence"
Margaret of Parma,"Ottavio Farnese, Duke of Parma"
Margaret of Parma,Alessandro de' Medici
Margaret of Parma,Ottavio Farnese
Margaret of Provence,Louis IX of France
Margaret of Savoy (1410–1479),"Louis IV, Count Palatine of the Rhine"
Margaret of Savoy (1410–1479),"Louis, Duke of Anjou"
Margaret of Savoy (1410–1479),Louis III of Naples
Margaret of Valois,Henry IV of France
Margaret of York,(1433&ndash;1477)
Margaret of York,Charles the Bold
Margareta Hasbjörnsdatter,Harald III of Denmark
Margareta Seuerling,Carl Gottfried Seuerling
Margaretta Scott,(to 1958)
Margaretta Scott,John Wooldridge
Margarita Gómez-Acebo y Cejuela,Simeon II of Bulgaria
Margarita Gómez-Acebo y Cejuela,Simeon Saxe-Coburg-Gotha
Margarita Prentice,Bill
Margarita Rosa de Francisco,(1988 - 1990)
Margarita Rosa de Francisco,Carlos Vives
Margarita Rosa de Francisco,Daniel Castello Mallarino (2003-present)
Margarita Teresa of Spain,"Leopold I, Holy Roman Emperor"
Margaux Hemingway,1975
Margaux Hemingway,1978
Margaux Hemingway,1979
Margaux Hemingway,1987
Margaux Hemingway,Bernard Foucher
Margaux Hemingway,Erroll Wetson
Marge Bergman,(dissolved with her death)
Marge Bergman,Stu Bergman
Marge Champion,(1977-1981)
Marge Champion,Art Babbitt
Marge Champion,Boris Sagal
Marge Champion,Gower Champion
Marge Piercy,"Three (3); third husband, Ira Wood"
Margene Heffman,"(sister-wife, with Bill)"
Margene Heffman,(husband)
Margene Heffman,Barb Henrickson
Margene Heffman,Barbara Henrickson
Margene Heffman,Bill Henrickson
Margene Heffman,Goran (legal husband)
Margene Heffman,Nicki Grant
Margery de Burgh,Theobald Le Botiller
Margherita Maria Farnese,"Francesco II d'Este, Duke of Modena"
Margherita de' Medici,Odoardo Farnese
Margherita del Balzo,", of Brienne, and of Conversano"
Margherita del Balzo,"Peter of Luxembourg, Count of Saint-Pol"
Margherita of Savoy,Umberto I of Italy
Margie Hines,(divorced)
Margie Hines,Jack Mercer
Margo (actress),(1937&ndash;1940)
Margo (actress),(1945&ndash;1985)
Margo (actress),(her death)
Margo (actress),Eddie Albert
Margo (actress),Francis Lederer
Margo Lion (cabaret singer),Marcellus Schiffer
Margo MacDonald,Jim Sillars
Margo Maclaine Lynley,"Bill Spencer, Sr."
Margo Maclaine Lynley,(First Name Unknown)
Margo Maclaine Lynley,(divorced 1988-1990)
Margo Maclaine Lynley,(divorced)
Margo Maclaine Lynley,Bill Spencer
Margo Maclaine Lynley,Lynley
Margo McLennan,(1962-1969)
Margo McLennan,(1974-2004)
Margo McLennan,Rod McLennan
Margo McLennan,Tony Doonan
Margo Montgomery Hughes,"Thomas ""Tom"" Hughes"
Margo Montgomery Hughes,Tom Hughes (ATWT)
Margo St. James,Paul Avery
Margot Fonteyn,Roberto Arias
Margot Grahame,(1958-1972) (his death)
Margot Grahame,A. D. Peters
Margot Grahame,Allan McMartin 1938-1946) (divorced)
Margot Grahame,Francis Lister (1934-1936) (divorced)
Margot Honecker,Erich Honecker
Margot James,Jay Hunt
Margot James,Jay Hunt (stylist)
Margot Kidder,(1979) (divorced)
Margot Kidder,John Heard
Margot Kidder,John Heard (actor)
Margot Kidder,Philippe de Broca
Margot Kidder,Thomas McGuane
Margot Warner,Bruce Warner
Margot Warner,Sir Bruce Warner
Margravine Anna of Brandenburg,Frederick I of Denmark
Margravine Elisabeth Louise of Brandenburg-Schwedt,Prince Augustus Ferdinand of Prussia
Margravine Philippine of Brandenburg-Schwedt,"Frederick II, Landgrave of Hesse-Kassel"
Margravine Sophie Christine of Brandenburg-Bayreuth,"Alexander Ferdinand, 3rd Prince of Thurn and Taxis"
Margrethe II of Denmark,"Henrik, Prince Consort of Denmark"
Margrethe II of Denmark,Henri de Laborde de Monpezat
Margrét Skúladóttir,Haakon Haakonsson
Margrét Skúladóttir,Haakon IV of Norway
Marguerite Blais,Jean-Guy Faucher
Marguerite Churchill,(1933-1948) (divorced) 3 children
Marguerite Churchill,George O'Brien
Marguerite Churchill,George O'Brien (Actor)
Marguerite Clark,Harry Palmerson Williams (1918-1936) (his death)
Marguerite Courtot,Raymond McKee (1923-1984)
Marguerite De La Motte,(1924&ndash;1936)
Marguerite De La Motte,John Bowers
Marguerite Harbert,John M. Harbert
Marguerite Harbert,John Murdoch Harbert III
Marguerite Henry,Sidney Crocker Henry
Marguerite Louise d'Orléans,"Cosimo III de' Medici, Grand Duke of Tuscany"
Marguerite Poland,Martin Oosthuizen
Marguerite Quinn,John
Marguerite Ross Barnett,Stephen A. Barnett (divorced)
Marguerite Ross Barnett,Walter Eugene King (1980-1992)
Marguerite Snow,(1913-1923)
Marguerite Snow,(1925-1958)
Marguerite Snow,James Cruze
Marguerite Snow,Neely Edwards
Marguerite de Navarre,Henry II of Navarre
Marguerite de Sablé,William des Roches
Marguerite of Enghien,"John of Luxembourg, Sire of Beauvois"
Marguerite of Enghien,Giacopo Sanseverino
Marguerite of Enghien,Pierre de Baux
Mari Blanchard,"Reese H. Taylor, Jr. (1960-?)"
Mari Blanchard,Vince Conte (?-1970) her death
Mari Kiviniemi,Juha Louhivuori
Mari Maurstad,Aage Kvalbein
Maria Adelaide of Austria,"Victor Emmanuel, King of Sardinia"
Maria Adelaide of Austria,Victor Emmanuel II of Italy
Maria Alexandrovna (Marie of Hesse),Alexander II
Maria Alexandrovna (Marie of Hesse),Alexander II of Russia
Maria Altmann,(m. 1937)
Maria Altmann,Fritz Altmann
Maria Amalia Augusta of Zweibrücken-Birkenfeld,Frederick Augustus I of Saxony
Maria Amalia of Naples and Sicily,Louis Philippe I
Maria Amalia of Naples and Sicily,Louis-Philippe of France
Maria Amalia of Saxony,Charles III of Spain
Maria Angela Caterina d'Este,"Emmanuel Philibert, Prince of Carignan"
Maria Anna Katharina Rutowska,Claude Marie de Bellegarde
Maria Anna Katharina Rutowska,Comte
Maria Anna Katharina Rutowska,et d'Entremont
Maria Anna Sophia of Saxony,"Maximilian III Joseph, Elector of Bavaria"
Maria Anna of Austria,John V of Portugal
Maria Anna of Bavaria (1551–1608),Charles II of Austria
Maria Anna of Bavaria (1805–1877),Frederick Augustus II
Maria Anna of Bavaria (1805–1877),Frederick Augustus II of Saxony
Maria Anna of Savoy,Ferdinand I of Austria
Maria Anna of Spain,"Ferdinand III, Holy Roman Emperor"
Maria Anna of Spain,Ferdinand III
Maria Anna of the Palatinate-Neuburg,Charles II of Spain
Maria Antonia Walpurgis of Bavaria,"Frederick Christian, Elector of Saxony"
Maria Antonietta of Spain,Victor Amadeus III of Sardinia
Maria Asenina of Bulgaria,Mitso Asen of Bulgaria
Maria Augimeri,Odoardo Di Santo
Maria Bartiromo,Jonathan Steinberg (1999-)
Maria Beatrice Ricciarda d'Este,"Ferdinand I, Archduke of Austria-Este"
Maria Beatrice Ricciarda d'Este,Archduke Ferdinand of Austria
Maria Beatrice of Savoy,"Francis IV, Duke of Modena"
Maria Bonnevie,(1998-2003)
Maria Bonnevie,Mikael Persbrandt
Maria Canals Barrera,David Barrera
Maria Cantwell,None
Maria Carolina of Austria,Ferdinand I of the Two Sicilies
Maria Carolina of Austria,Ferdinand IV of Naples
Maria Caterina Farnese,"Francesco I d'Este, Duke of Modena"
Maria Christina of Austria,Alfonso XII of Spain
Maria Christina of Savoy,Ferdinand II of the Two Sicilies
Maria Christina of the Two Sicilies,Ferdinand VII of Spain
Maria Clara Lobregat,Tito Lobregat
Maria Clementina Sobieska,James Francis Edward Stuart
Maria Cristina of Naples and Sicily,Charles Felix of Sardinia
Maria De Filippi,1995
Maria De Filippi,Maurizio Costanzo
